JobTitle,BasePay,Overtimepay
GARDENER,55592.5,3147.28
GARDENER,55094.3,648.42
GARDENER,58882.0,2750.58
GARDENER,58528.0,3966.78
GARDENER,57731.5,223.47
GARDENER,58410.0,379.89
GARDENER,56447.67,4286.98
GARDENER,58528.0,178.77
GARDENER,55233.4,675.85
GARDENER,58528.0,6525.09
GARDENER,61360.0,2162.96
GARDENER,56939.72,4469.25
GARDENER,49502.48,9330.43
GARDENER,55895.12,2240.19
GARDENER,58528.0,5970.21
GARDENER,58646.0,3547.63
GARDENER,58528.0,3579.17
GARDENER,58764.0,1214.15
GARDENER,51997.61,2033.52
GARDENER,57820.0,4294.24
GARDENER,58528.0,2927.38
GARDENER,59411.0,1307.32
GARDENER,59118.0,7049.92
GARDENER,59000.0,957.79
GARDENER,46072.83,10533.26
GARDENER,33981.64,1117.31
GARDENER,58528.0,1465.06
GARDENER,54249.72,170.13
GARDENER,59769.4,5034.99
GARDENER,50997.58,9092.81
GARDENER,58528.0,1519.56
GARDENER,50677.33,1251.27
GARDENER,38979.24,44.69
GARDENER,57938.0,5956.72
GARDENER,59345.11,3121.88
GARDENER,58764.0,1396.75
GARDENER,46850.89,459.47
GARDENER,36504.82,2712.15
GARDENER,58292.0,1105.15
GARDENER,58412.4,759.77
GARDENER,55674.61,893.84
GARDENER,48649.0,122.52
GARDENER,50732.34,1705.91
GARDENER,48728.22,366.65
GARDENER,59000.0,4946.71
GARDENER,58056.0,147.36
GARDENER,47820.42,4510.82
GARDENER,39179.28,6129.43
GARDENER,58292.0,17985.72
GARDENER,59472.0,9927.04
GARDENER,58528.0,5005.56
GARDENER,49349.32,992.45
GARDENER,48380.0,4576.47
GARDENER,59354.0,6091.14
GARDENER,58292.0,625.7
GARDENER,58528.0,16930.67
GARDENER,58036.9,8219.11
GARDENER,58764.0,992.09
GARDENER,54222.25,5308.69
GARDENER,19992.3,91.9
GARDENER,48675.0,357.54
GARDENER,55357.27,10314.4
GARDENER,57495.5,89.39
GARDENER,46839.53,1240.4
GARDENER,45853.92,1951.55
GARDENER,57584.01,938.55
GARDENER,58176.4,523.48
GARDENER,58292.0,89.39
GARDENER,54773.3,783.48
GARDENER,61360.0,2882.45
GARDENER,56713.91,4879.91
GARDENER,57031.2,170.21
GARDENER,55885.1,1287.31
GARDENER,57820.0,3766.81
GARDENER,59000.0,2078.21
GARDENER,58528.0,491.18
GARDENER,58159.25,1286.29
GARDENER,58056.0,536.31
GARDENER,56404.0,625.69
GARDENER,44847.46,2613.66
GARDENER,52427.61,7395.23
GARDENER,58174.0,122.8
GARDENER,56676.59,1443.47
